Ballot,ID,Year,Region,Gender,Race,Education,Marital,Religion,Happy,Income,PolParty,Politics,OwnGun,GunLaw,SpendMilitary,SpendEduc,SpendEnv,SpendSci,SpendSpace,SpendDrug,Pres12,Postlife
Ballot a,553,2018,Middle atlantic,Female,White,Bachelor,Married,Catholic,Pretty happy,$25000 or more,Not str republican,Moderate,No,Favor,Too little,Too little,Too little,Too little,Too little,Too little,Romney,Yes
Ballot c,554,2018,Middle atlantic,Female,Other,High school,Never married,Protestant,Not too happy,$25000 or more,Not str democrat,Moderate,No,Favor,Not applicable,Not applicable,Not applicable,Too little,Not applicable,Not applicable,Not applicable,No
Ballot b,555,2018,Middle atlantic,Female,White,Bachelor,Married,Catholic,Very happy,$25000 or more,Other party,Moderate,Not applicable,Not applicable,About right,About right,Too little,About right,About right,Too little,Obama,Yes
Ballot a,556,2018,Middle atlantic,Female,White,Junior college,Married,None,Very happy,$25000 or more,Strong republican,Conservative,No,Oppose,Not applicable,Not applicable,Not applicable,Too much,Not applicable,Not applicable,Romney,Yes
Ballot b,557,2018,Middle atlantic,Male,White,Bachelor,Married,Catholic,Very happy,Refused,Not str republican,Conservative,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Too much,Not applicable,Not applicable,Romney,Yes
Ballot c,558,2018,Middle atlantic,Male,White,Bachelor,Widowed,Protestant,Pretty happy,$20000 - 24999,Not str democrat,Moderate,No,Favor,Not applicable,Not applicable,Not applicable,About right,Not applicable,Not applicable,Obama,Yes
Ballot b,559,2018,Middle atlantic,Male,White,Bachelor,Married,Catholic,Pretty happy,$25000 or more,Not str democrat,Slightly liberal,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,About right,Not applicable,Not applicable,Obama,Yes
Ballot c,560,2018,Middle atlantic,Male,White,Graduate,Never married,None,Pretty happy,$25000 or more,Strong democrat,Liberal,No,Favor,Not applicable,Not applicable,Not applicable,Too little,Not applicable,Not applicable,Obama,Don't know
Ballot b,561,2018,Middle atlantic,Female,White,Graduate,Widowed,Protestant,Pretty happy,$25000 or more,Strong democrat,Moderate,Not applicable,Not applicable,Too much,Too little,Too little,Too little,About right,About right,Obama,Yes
Ballot b,562,2018,Middle atlantic,Male,White,High school,Married,Catholic,Very happy,$25000 or more,Strong democrat,Moderate,Not applicable,Not applicable,Too little,Too little,Too little,About right,About right,Too little,Obama,Yes
Ballot a,563,2018,Middle atlantic,Female,Other,Bachelor,Never married,None,Pretty happy,$25000 or more,Other party,Don't know,No,Favor,About right,About right,About right,About right,About right,About right,Not applicable,No
Ballot a,564,2018,Middle atlantic,Male,Other,Bachelor,Married,No answer,Very happy,$25000 or more,No answer,Moderate,No,Favor,Not applicable,Not applicable,Not applicable,Too little,Not applicable,Not applicable,Not applicable,Yes
Ballot c,565,2018,Middle atlantic,Male,White,High school,Never married,Catholic,Pretty happy,$25000 or more,Not str democrat,Slightly liberal,No,Favor,Too much,Too little,Too little,Too little,Too little,Too little,Obama,No
Ballot c,566,2018,Middle atlantic,Female,White,Bachelor,Widowed,Protestant,Pretty happy,$25000 or more,Strong democrat,Liberal,No,Favor,Not applicable,Not applicable,Not applicable,Too little,Not applicable,Not applicable,Obama,Don't know
Ballot b,567,2018,Middle atlantic,Female,White,Bachelor,Married,Catholic,Pretty happy,$25000 or more,Not str democrat,Slghtly conservative,Not applicable,Not applicable,Too much,About right,Too little,About right,About right,About right,Obama,Don't know
Ballot a,568,2018,Middle atlantic,Male,White,Graduate,Divorced,None,Very happy,$25000 or more,Strong democrat,Extremely liberal,No,Favor,Not applicable,Not applicable,Not applicable,Too little,Not applicable,Not applicable,Obama,Don't know
Ballot b,569,2018,Middle atlantic,Male,White,Bachelor,Married,Protestant,Very happy,Refused,"Ind,near dem",Moderate,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,About right,Not applicable,Not applicable,Obama,No
Ballot b,570,2018,Middle atlantic,Female,Other,Bachelor,Married,No answer,Pretty happy,Refused,Independent,No answer,Not applicable,Not applicable,Too little,Too little,Too little,About right,About right,About right,No answer,Don't know
Ballot b,571,2018,Middle atlantic,Female,White,Graduate,Never married,None,Not too happy,$25000 or more,Strong democrat,Liberal,Not applicable,Not applicable,Too much,Too little,Too little,Too little,About right,Too little,Not applicable,No
Ballot c,572,2018,Middle atlantic,Female,White,Bachelor,Never married,Christian,Pretty happy,$25000 or more,Not str republican,Moderate,No,Favor,About right,About right,Too little,Too much,About right,Too little,Not applicable,Yes
Ballot b,573,2018,Middle atlantic,Male,White,Graduate,Married,None,Not too happy,$25000 or more,Strong democrat,Extremely liberal,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Too little,Not applicable,Not applicable,Obama,No
Ballot c,574,2018,Middle atlantic,Male,Black,High school,Never married,None,Pretty happy,$25000 or more,Not str democrat,Moderate,No,Favor,Not applicable,Not applicable,Not applicable,Too little,Not applicable,Not applicable,Obama,Yes
Ballot c,575,2018,Middle atlantic,Female,Black,Junior college,Never married,None,Not too happy,$10000 - 14999,Not str democrat,Liberal,No,Favor,Too much,Too little,Too little,Too little,Too much,Too little,Not applicable,Yes
Ballot a,576,2018,Middle atlantic,Female,Black,High school,Divorced,Protestant,Pretty happy,$15000 - 19999,Not str democrat,Moderate,No,Favor,Not applicable,Not applicable,Not applicable,Too little,Not applicable,Not applicable,Not applicable,Yes
Ballot c,577,2018,Middle atlantic,Female,White,Bachelor,Never married,Catholic,Very happy,$25000 or more,Not str democrat,Slightly liberal,No,Favor,Too much,Too little,About right,Too much,Too much,Too little,Not applicable,Yes
Ballot c,578,2018,Middle atlantic,Male,Black,High school,Separated,Protestant,Pretty happy,$15000 - 19999,Strong democrat,Slightly liberal,No,Favor,Not applicable,Not applicable,Not applicable,Too little,Not applicable,Not applicable,Obama,No
Ballot b,579,2018,Middle atlantic,Female,Black,High school,Never married,Catholic,Very happy,$25000 or more,Strong democrat,Liberal,Not applicable,Not applicable,About right,Too little,About right,About right,Too little,Too much,Obama,Yes
Ballot a,580,2018,Middle atlantic,Male,White,High school,Divorced,None,Not too happy,$15000 - 19999,"Ind,near rep",Slghtly conservative,Yes,Oppose,Not applicable,Not applicable,Not applicable,About right,Not applicable,Not applicable,Obama,No
Ballot b,581,2018,Middle atlantic,Female,White,Graduate,Never married,None,Not too happy,$25000 or more,Not str democrat,Liberal,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Too little,Not applicable,Not applicable,Obama,Yes
Ballot a,582,2018,Middle atlantic,Male,White,High school,Never married,None,Pretty happy,$10000 - 14999,Independent,Moderate,No,Favor,Too much,Too little,Too little,Too little,About right,Too little,Not applicable,No
Ballot c,583,2018,Middle atlantic,Female,Other,High school,Divorced,Buddhism,Pretty happy,$25000 or more,"Ind,near dem",Moderate,No,Oppose,Too little,Too little,Too little,About right,About right,Too much,Not applicable,Yes
Ballot b,584,2018,Middle atlantic,Male,White,High school,Never married,Protestant,Pretty happy,$10000 - 14999,"Ind,near rep",Conservative,Not applicable,Not applicable,Too much,Too much,About right,Too little,Too little,About right,Not applicable,No
Ballot c,585,2018,Middle atlantic,Female,White,High school,Married,None,Pretty happy,$25000 or more,Independent,Moderate,No,Favor,About right,Too little,Too little,Too little,About right,Too little,Obama,Yes
Ballot b,586,2018,Middle atlantic,Female,Other,Lt high school,Never married,None,Pretty happy,$8000 to 9999,Independent,Liberal,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Too much,Not applicable,Not applicable,Not applicable,Yes
Ballot b,587,2018,Middle atlantic,Male,Other,Bachelor,Married,Catholic,Very happy,$25000 or more,Not str democrat,Moderate,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Too much,Not applicable,Not applicable,Not applicable,Yes
Ballot b,588,2018,W. sou. central,Female,Black,Junior college,Widowed,Protestant,Very happy,$25000 or more,Strong democrat,Slghtly conservative,Not applicable,Not applicable,Too little,Too little,Too little,Too little,Too much,Too little,Obama,Yes
Ballot a,589,2018,W. sou. central,Female,Black,Bachelor,Divorced,Protestant,Pretty happy,$25000 or more,Not str democrat,Slightly liberal,No,Favor,Not applicable,Not applicable,Not applicable,About right,Not applicable,Not applicable,Obama,Yes
Ballot b,590,2018,W. sou. central,Female,Black,High school,Married,Protestant,Very happy,$25000 or more,Strong democrat,Moderate,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Too little,Not applicable,Not applicable,Obama,Yes
Ballot b,591,2018,W. sou. central,Female,Other,Lt high school,Never married,Catholic,Pretty happy,Don't know,Independent,Moderate,Not applicable,Not applicable,Too little,About right,Too little,About right,About right,Don't know,Not applicable,Yes
Ballot c,592,2018,W. sou. central,Male,Black,Bachelor,Never married,Protestant,Pretty happy,$20000 - 24999,"Ind,near dem",Extremely liberal,No,Favor,Too much,Too little,Too little,Too little,Too little,Too little,Obama,Yes
Ballot b,593,2018,W. sou. central,Female,Black,High school,Divorced,Protestant,Very happy,$25000 or more,Strong democrat,Slightly liberal,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Too little,Not applicable,Not applicable,No answer,Yes
Ballot c,594,2018,W. sou. central,Female,Black,High school,Married,None,Pretty happy,$25000 or more,Not str democrat,Moderate,No,Favor,Not applicable,Not applicable,Not applicable,About right,Not applicable,Not applicable,Obama,Yes
Ballot b,595,2018,W. sou. central,Male,Black,Bachelor,Widowed,Protestant,Not too happy,$20000 - 24999,Strong democrat,Slghtly conservative,Not applicable,Not applicable,Too little,About right,About right,About right,Too little,About right,Obama,Yes
Ballot b,596,2018,W. sou. central,Male,White,High school,Married,Protestant,Very happy,$25000 or more,Strong republican,Conservative,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,About right,Not applicable,Not applicable,Romney,Yes
Ballot a,597,2018,W. sou. central,Male,Other,High school,Never married,Catholic,Pretty happy,$25000 or more,"Ind,near rep",Slightly liberal,Yes,Favor,Too little,About right,About right,About right,About right,Too little,Not applicable,Yes
Ballot c,598,2018,W. sou. central,Female,White,Junior college,Married,Protestant,Very happy,Refused,Independent,Conservative,Yes,Oppose,Not applicable,Not applicable,Not applicable,About right,Not applicable,Not applicable,No answer,Yes
Ballot b,599,2018,W. sou. central,Female,Black,Graduate,Married,None,Pretty happy,Refused,Strong democrat,Slightly liberal,Not applicable,Not applicable,About right,Too little,Too little,About right,About right,Too little,Obama,Yes
Ballot b,600,2018,W. sou. central,Male,Other,High school,Never married,None,Very happy,$15000 - 19999,Independent,Slghtly conservative,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Too much,Not applicable,Not applicable,Not applicable,Don't know
Ballot a,601,2018,W. sou. central,Female,White,Lt high school,Married,None,Pretty happy,$25000 or more,Not str democrat,Extremely liberal,No,Favor,Too little,Too little,Too little,About right,Too little,Too little,Obama,Yes
Ballot b,602,2018,W. sou. central,Male,White,Junior college,Married,Protestant,Very happy,$25000 or more,Strong republican,Conservative,Not applicable,Not applicable,About right,Too little,Too little,About right,Too little,Too little,Romney,Yes
Ballot b,603,2018,W. sou. central,Male,White,High school,Married,Protestant,Pretty happy,$25000 or more,Strong republican,Conservative,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,About right,Not applicable,Not applicable,Romney,Yes
Ballot a,604,2018,W. sou. central,Male,White,High school,Never married,None,Pretty happy,$8000 to 9999,Independent,Moderate,Yes,Favor,About right,About right,Too little,Too little,Too little,About right,Not applicable,Yes
Ballot b,605,2018,W. sou. central,Female,White,Bachelor,Never married,Catholic,Very happy,Refused,Not str democrat,Moderate,Not applicable,Not applicable,Too much,Too little,Too little,Too little,About right,Too little,Obama,Yes
Ballot a,606,2018,W. sou. central,Male,Other,High school,Never married,Catholic,Pretty happy,$25000 or more,Independent,Conservative,No,Oppose,Too much,Too little,Too little,Too much,Too much,Too little,Not applicable,Don't know
Ballot b,607,2018,W. sou. central,Female,Other,High school,Married,Protestant,Very happy,$25000 or more,Independent,Slightly liberal,Not applicable,Not applicable,Too much,About right,About right,Too much,Too much,About right,Not applicable,Yes
Ballot a,608,2018,W. sou. central,Female,White,High school,Married,Protestant,Very happy,$25000 or more,Not str democrat,Moderate,No,Favor,Not applicable,Not applicable,Not applicable,About right,Not applicable,Not applicable,Not applicable,Yes
Ballot c,609,2018,W. sou. central,Female,White,Lt high school,Married,Protestant,Pretty happy,$6000 to 6999,Strong republican,Conservative,No,Favor,Too much,Too little,Too little,Too little,Too much,Too little,Not applicable,No
Ballot a,610,2018,W. sou. central,Male,Other,Lt high school,Never married,Catholic,Pretty happy,Don't know,"Ind,near rep",Extremely liberal,Yes,Favor,About right,About right,About right,About right,About right,Too little,Not applicable,No
Ballot a,611,2018,W. sou. central,Male,Other,Lt high school,Married,Catholic,Not too happy,$15000 - 19999,Strong republican,Conservative,No,Oppose,Not applicable,Not applicable,Not applicable,About right,Not applicable,Not applicable,Not applicable,No
Ballot c,612,2018,W. sou. central,Female,Other,Lt high school,Divorced,Protestant,Not too happy,$25000 or more,Independent,Moderate,No,Favor,About right,About right,About right,About right,Don't know,Too little,Not applicable,Yes
